category_code,category_description,category_hierarchy,hs8
01,LIVE ANIMALS,Chapter,01012100
01,LIVE ANIMALS,Chapter,01012900
01,LIVE ANIMALS,Chapter,01013000
01,LIVE ANIMALS,Chapter,01019040
01,LIVE ANIMALS,Chapter,01022114
01,LIVE ANIMALS,Chapter,01022117
01,LIVE ANIMALS,Chapter,01022924
01,LIVE ANIMALS,Chapter,01022927
01,LIVE ANIMALS,Chapter,01023100
01,LIVE ANIMALS,Chapter,01023900
01,LIVE ANIMALS,Chapter,01029093
01,LIVE ANIMALS,Chapter,01031000
01,LIVE ANIMALS,Chapter,01039100
01,LIVE ANIMALS,Chapter,01039200
01,LIVE ANIMALS,Chapter,01041013
01,LIVE ANIMALS,Chapter,01042000
01,LIVE ANIMALS,Chapter,01051100
01,LIVE ANIMALS,Chapter,01051200
01,LIVE ANIMALS,Chapter,01051300
01,LIVE ANIMALS,Chapter,01051400
01,LIVE ANIMALS,Chapter,01051500
01,LIVE ANIMALS,Chapter,01059410
01,LIVE ANIMALS,Chapter,01059900
01,LIVE ANIMALS,Chapter,01061100
01,LIVE ANIMALS,Chapter,01061204
01,LIVE ANIMALS,Chapter,01061300
01,LIVE ANIMALS,Chapter,01061400
01,LIVE ANIMALS,Chapter,01061943
01,LIVE ANIMALS,Chapter,01061995
01,LIVE ANIMALS,Chapter,01062050
01,LIVE ANIMALS,Chapter,01062097
01,LIVE ANIMALS,Chapter,01063111
01,LIVE ANIMALS,Chapter,01063196
01,LIVE ANIMALS,Chapter,01063230
01,LIVE ANIMALS,Chapter,01063290
01,LIVE ANIMALS,Chapter,01063300
01,LIVE ANIMALS,Chapter,01063943
01,LIVE ANIMALS,Chapter,01063992
01,LIVE ANIMALS,Chapter,01064100
01,LIVE ANIMALS,Chapter,01064900
01,LIVE ANIMALS,Chapter,01069063
01,LIVE ANIMALS,Chapter,01069091
0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",Heading,01012100
0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",Heading,01012900
