source_vintage,source_hs8,hs8_2022,match_type
2017,01012100,01012100,identity
2017,01012900,01012900,identity
2017,01013000,01013000,identity
2017,01019040,01019040,identity
2017,01022114,01022114,identity
2017,01022117,01022117,identity
2017,01022924,01022924,identity
2017,01022927,01022927,identity
2017,01023100,01023100,identity
2017,01023900,01023900,identity
2017,01029093,01029093,identity
2017,01031000,01031000,identity
2017,01039100,01039100,identity
2017,01039200,01039200,identity
2017,01041013,01041013,identity
2017,01042000,01042000,identity
2017,01051100,01051100,identity
2017,01051200,01051200,identity
2017,01051300,01051300,identity
2017,01051400,01051400,identity
2017,01051500,01051500,identity
2017,01059410,01059410,identity
2017,01059900,01059900,identity
2017,01061100,01061100,identity
2017,01061204,01061204,identity
2017,01061300,01061300,identity
2017,01061400,01061400,identity
2017,01061943,01061943,identity
2017,01061995,01061995,identity
2017,01062050,01062050,identity
2017,01062097,01062097,identity
2017,01063111,01063111,identity
2017,01063196,01063196,identity
2017,01063230,01063230,identity
2017,01063290,01063290,identity
2017,01063300,01063300,identity
2017,01063943,01063943,identity
2017,01063992,01063992,identity
2017,01064100,01064100,identity
2017,01064900,01064900,identity
2017,01069063,01069063,identity
2017,01069091,01069091,identity
2017,02011040,02011040,identity
2017,02012035,02012035,identity
2017,02012090,02012090,identity
2017,02013011,02013011,identity
2017,02013013,02013013,identity
2017,02013019,02013019,identity
2017,02013090,02013090,identity
2017,02021045,02021045,identity
2017,02022011,02022011,identity
2017,02022019,02022019,identity
2017,02022090,02022090,identity
2017,02023011,02023011,identity
2017,02023013,02023013,identity
2017,02023019,02023019,identity
2017,02023040,02023040,identity
2017,02031100,02031100,identity
2017,02031200,02031200,identity
2017,02031900,02031900,identity
2017,02032100,02032100,identity
2017,02032200,02032200,identity
2017,02032900,02032900,identity
2017,02041000,02041000,identity
2017,02042100,02042100,identity
2017,02042210,02042210,identity
2017,02042220,02042220,identity
2017,02042310,02042310,identity
2017,02042320,02042320,identity
2017,02043000,02043000,identity
2017,02044100,02044100,identity
2017,02044210,02044210,identity
2017,02044220,02044220,identity
2017,02044310,02044310,identity
2017,02044320,02044320,identity
2017,02045000,02045000,identity
2017,02050000,02050000,identity
2017,02061000,02061000,identity
2017,02062100,02062100,identity
2017,02062200,02062200,identity
2017,02062900,02062900,identity
2017,02063000,02063000,identity
2017,02064100,02064100,identity
2017,02064900,02064900,identity
2017,02068000,02068000,identity
2017,02069000,02069000,identity
2017,02071100,02071100,identity
2017,02071200,02071200,identity
2017,02071300,02071300,identity
2017,02071400,02071400,identity
2017,02072400,02072400,identity
2017,02072500,02072500,identity
2017,02072600,02072600,identity
2017,02072700,02072700,identity
2017,02074110,02074110,identity
2017,02074220,02074220,identity
2017,02074330,02074330,identity
2017,02074400,02074400,identity
2017,02074500,02074500,identity
2017,02075100,02075100,identity
2017,02075200,02075200,identity
2017,02075300,02075300,identity
2017,02075400,02075400,identity
2017,02075500,02075500,identity
2017,02076000,02076000,identity
2017,02081000,02081000,identity
2017,02083000,02083000,identity
2017,02084010,02084010,identity
2017,02085005,02085005,identity
2017,02086020,02086020,identity
2017,02089011,02089011,identity
2017,02089050,02089060,concordance_split
2017,02089050,04101010,concordance_split
2017,02091000,02091000,identity
2017,02099090,02099090,identity
2017,02101100,02101100,identity
2017,02101200,02101200,identity
2017,02101900,02101900,identity
2017,02102000,02102000,identity
2017,02109100,02109100,identity
2017,02109210,02109210,identity
2017,02109305,02109305,identity
2017,02109940,02109996,concordance_split
2017,02109940,04101010,concordance_split
2017,03011100,03011100,identity
2017,03011901,03011901,identity
